li	4647
mi	4143
e	3597
toki	2905
ni	2811
pona	2692
a	2126
ala	1996
jan	1905
sina	1765
la	1729
lon	1594
sona	1483
mute	1268
tawa	1242
pi	1169
ike	1019
tenpo	1006
seme	973
wile	914
ona	905
o	856
kama	764
taso	757
ken	738
nimi	663
pali	663
tan	660
ma	636
pilin	592
lili	584
moku	565
lukin	445
tomo	444
ilo	433
kepeken	432
sitelen	411
musi	408
anu	348
jo	325
luka	318
sama	318
kin	311
en	310
ante	282
pana	261
ijo	258
lape	256
telo	253
suno	252
wan	229
pini	228
suli	228
nasa	220
nasin	220
lipu	218
nanpa	217
lawa	198
tu	196
mani	192
kalama	185
kulupu	176
wawa	172
sin	170
weka	161
ale	151
moli	148
sike	143
pakala	137
soweli	130
sewi	126
awen	113
utala	107
pan	97
kon	95
poka	94
ko	89
sijelo	86
leko	86
linja	85
pimeja	84
pu	82
kute	80
seli	80
kasi	78
jaki	75
insa	73
suwi	71
lete	67
kili	56
uta	54
kiwen	50
mama	50
open	48
oko	46
esun	45
meli	44
lupa	43
poki	42
mije	39
unpa	38
i	37
mun	36
monsuta	35
olin	34
len	32
palisa	30
namako	30
loje	29
pipi	29
kule	28
nena	27
noka	27
walo	27
selo	26
jelo	24
supa	21
pata	21
n	20
kala	19
laso	19
powe	19
sinpin	15
mu	14
u	14
akesi	13
kan	11
po	11
apeja	10
alasa	1
monsi	1
waso	1
epiku	1
jasima	1
kijetesantakalu	1
kipisi	1
kokosila	1
ku	1
lanpan	1
meso	1
misikeke	1
soko	1
tonsi	1
ete	1
ewe	1
isipin	1
ju	1
kalamARR	1
kamalawala	1
kapesi	1
ke	1
kese	1
kiki	1
kulijo	1
kuntu	1
likujo	1
linluwi	1
loka	1
lu	1
majuna	1
misa	1
mulapisu	1
neja	1
nu	1
oke	1
pake	1
peto	1
Pingo	1
polinpin	1
pomotolo	1
samu	1
san	1
soto	1
su	1
suke	1
sutopatikuna	1
taki	1
te	1
teje	1
to	1
toma	1
tuli	1
umesu	1
unu	1
usawi	1
wa	1
waleja	1
wasoweli	1
yupekosi	1
aka	1
ako	1
alu	1
awase	1
eki	1
enko	1
iki	1
ini	1
ipi	1
itomi	1
jaku	1
jalan	1
jami	1
jans	1
je	1
jonke	1
jume	1
kajo	1
kapa	1
ki	1
kisa	1
konsi	1
konwe	1
kosan	1
kulu	1
kutopoma	1
lenke	1
lijokuku	1
lokon	1
loku	1
lo	1
me	1
melome	1
mijomi	1
molusa	1
natu	1
nele	1
nja	1
nu	1
nun	1
nuwa	1
okepuma	1
omekapo	1
omen	1
oni	1
owe	1
pa	1
pasila	1
patu	1
peta	1
pika	1
pipo	1
puwa	1
se	1
sikomo	1
sipi	1
slape	1
su	1
take	1
ten	1
tokana	1
wawajete	1
we	1
wekama	1
wi	1
yutu	1
